model,method,variation_type,wrong_count
DeepSeek-R1-Distill-Qwen-7B,cot,symbolic_swap,26
DeepSeek-R1-Distill-Qwen-7B,cot,base,19
DeepSeek-R1-Distill-Qwen-7B,cot,irrelevant_numeric,19
DeepSeek-R1-Distill-Qwen-7B,cot,rephrase,18
Qwen3-4B,cot,symbolic_swap,18
DeepSeek-R1-Distill-Qwen-7B,cot,scale_tweak,18
Qwen3-4B,cot,critical_thinking,17
DeepSeek-R1-Distill-Qwen-7B,cot,critical_thinking,16
Qwen3-4B,cot,rephrase,15
Qwen3-4B,cot,base,15
Qwen3-4B,sc,base,14
Qwen3-4B,sc,scale_tweak,14
Qwen3-4B,sc,symbolic_swap,14
DeepSeek-R1-Distill-Qwen-7B,sc,scale_tweak,13
DeepSeek-R1-Distill-Qwen-7B,sc,base,13
DeepSeek-R1-Distill-Qwen-7B,sc,symbolic_swap,13
Qwen3-4B,cot,scale_tweak,13
DeepSeek-R1-Distill-Qwen-7B,sc,irrelevant_numeric,12
Qwen3-4B,sc,irrelevant_numeric,11
Qwen3-4B,cot,irrelevant_numeric,10
